"squirrel_id","percent_return","observations","ALR","LRS","LBS","litter_id","litter_size","year","field_bdate","n1_date","tag_date","grid","locx","locy","ln","food","father_id","mother_byear","mother_bcert","maternal_grandma_id","mom_dates","mom_datee","dam_age","julian","mom_longevity.x","litter_fit","ARS","std_ls","std_ARS","mean_growthRate","yrf","std_growth","std_julian","std_litter_fit","average_latency","mast_encounter","mast_encounter1","mom_longevity.y","exp","scaled_lat","scaled_long"
19649,100,1,2,1,11,5849,3,2014,"5/17/14","5/18/14","6/11/14","KL","H.0",6,1,0,12445,2013,"Y",12305,"5/7/13","9/23/18",1,137,1965,0,0,-0.695813636,0,2.233333333,2014,1.603521476,-0.406666681,0,100,1,"yes",1965,0,-1.766802299,0.822969158
19666,50,2,4,0,7,6100,2,2015,"3/17/15","3/18/15","4/12/15","JO","J.0",20,1,1,NA,2013,"Y",13101,"5/6/13","5/19/18",2,76,1839,0,0,-0.937436867,NA,1.33,2015,-0.800254218,-0.949706094,NA,409,0,"no",1839,1,0.848656692,0.63308425
19706,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"yes",2543,0,NA,NA
19707,0,1,4,0,11,5923,3,2014,"6/16/14","6/17/14",NA,"KL","O.0",10.5,2,0,12653,2013,"Y",10374,"5/10/13","6/18/18",1,167,1865,0,0,-0.695813636,0,NA,2014,NA,0.581215574,0,420,1,"yes",1865,0,0.941763647,0.67226685
19719,100,2,5,0,7,6016,3,2014,"7/26/14","7/28/14",NA,"KL","-1.5",1.5,2,0,19901,2013,"Y",12199,"5/12/13","9/19/18",1,207,1956,0,0,-0.695813636,0,NA,2014,NA,1.898391914,0,270,1,"yes",1956,0,-0.32787664,0.80940595
19729,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"yes",2560,0,NA,NA
19740,0,1,4,4,9,5818,3,2014,"6/29/14","7/2/14","7/27/14","SU","D.0",7.5,1,0,12522,2013,"Y",11577,"5/12/13","5/15/18",1,180,1829,2,2,-0.372660086,1.222222222,1.293333333,2014,-0.779307534,1.034854994,2.19047619,420,1,"yes",1829,0,0.941763647,0.618014019
19742,33.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"yes",1870,0,NA,NA
19764,50,3,4,0,30,5918,4,2014,"6/13/14","6/15/14",NA,"KL","-2",12,1,0,19599,2013,"Y",12827,"5/15/13","6/7/19",1,164,2214,0,0,0.42217906,0,NA,2014,NA,0.482427348,0,266.5,1,"yes",2214,0,-0.35750158,1.198217905
19766,100,2,3,2,10,6052,3,2014,"7/20/14",NA,"8/14/14","KL","A.5",12,2,0,19815,2013,"Y",12827,"5/15/13","9/23/18",1,201,1957,1,1,-0.695813636,0.588477366,NA,2014,NA,1.700815463,0.899371069,45.5,1,"yes",1957,0,-2.228104937,0.810912973
19769,100,2,2,4,17,5931,4,2014,"5/25/14","5/26/14","6/24/14","KL","E.0",3.5,1,0,13466,2013,"Y",13185,"5/15/13","6/30/16",1,145,1142,1,1,0.42217906,0.588477366,1.453448276,2014,-0.288372942,-0.143231413,0.899371069,194.5,1,"yes",1142,0,-0.966928918,-0.417310838
19809,100,2,3,6,11,5983,3,2014,"6/13/14",NA,"7/13/14","KL","G.5",18,1,0,19721,2013,"Y",12202,"5/19/13","5/15/19",1,164,2187,2,2,-0.695813636,1.176954733,NA,2014,NA,0.482427348,1.798742138,131,1,"yes",2187,0,-1.504409973,1.157528282
19846,100,1,4,6,13,5925,3,2014,"6/14/14","6/17/14","7/13/14","KL","L.5",15,1,0,13125,2013,"Y",NA,"6/18/13","9/27/18",1,165,1927,2,2,-0.695813636,1.176954733,1.576923077,2014,0.011160027,0.515356757,1.798742138,52,1,"yes",1927,0,-2.173087191,0.765702281
19862,100,1,2,1,31,5910,5,2014,"6/13/14","6/14/14","7/6/14","SU","P.0",5,1,0,12479,2013,"Y",NA,"7/3/13","7/10/16",1,164,1103,0,0,1.607762084,0,1.343939394,2014,-0.654489779,0.513174668,0,88,1,"yes",1103,0,-1.868373522,-0.476084738
