"","squirrel_id","grid_year","nest","n_pups","scaled_mom_age","scaled_mom_age_squared","scaled_density","year","predator","scaled_julian_date","ARS","m_return","m_return_numeric"
"87",19907,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-1.568752572,0,"n",0
"88",19907,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-1.568752572,0,"n",0
"89",13257,"AG_2017","1",4,1.98898678414097,3.95606842748743,-1.125000137,"nonmast","low predator",-1.75907958,1,"n",0
"90",13625,"AG_2017","2",3,1.98898678414097,3.95606842748743,0.557304854,"nonmast","low predator",-0.966050382,0,"n",0
"91",13625,"AG_2017","1",3,1.98898678414097,3.95606842748743,-1.125000137,"nonmast","low predator",-0.966050382,0,"n",0
"92",19339,"AG_2017","1",3,0.988986784140969,0.978094859205496,-1.125000137,"nonmast","low predator",-1.75907958,0,"n",0
"93",21583,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,0.169080625,"nonmast","low predator",-0.934329214,1,"n",0
"94",19989,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,0.039672549,"nonmast","low predator",-0.07785768,2,"n",0
"95",20977,"AG_2017","2",4,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.046136512,0,"n",0
"96",22509,"AG_2017","2",3,-1.01101321585903,1.02214772264162,-0.089735527,"nonmast","low predator",-0.68055987,0,"n",0
"97",22509,"AG_2017","1",3,-1.01101321585903,1.02214772264162,-1.125000137,"nonmast","low predator",-0.68055987,0,"n",0
"98",22076,"AG_2017","2",3,-1.01101321585903,1.02214772264162,0.427896778,"nonmast","low predator",-0.617117534,1,"n",0
"99",20184,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,0.298488701,"nonmast","low predator",-0.141300016,0,"y",1
"100",22005,"AG_2017","2",2,-0.0110132158590308,0.000121290923557608,0.557304854,"nonmast","low predator",-0.585396366,0,"y",1
"101",22005,"AG_2017","1",2,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.585396366,0,"y",1
"102",20182,"AG_2017","1",4,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.807444542,2,"y",1
"103",20182,"AG_2017","2",4,-1.01101321585903,1.02214772264162,0.816121006,"nonmast","low predator",-0.807444542,2,"y",1
"104",20225,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,0.557304854,"nonmast","low predator",-0.902608046,1,"y",1
"105",20225,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.902608046,1,"y",1
"106",22024,"AG_2017","2",3,-1.01101321585903,1.02214772264162,0.427896778,"nonmast","low predator",-0.204742351,0,"y",1
"107",12939,"AG_2017","2",2,1.98898678414097,3.95606842748743,0.557304854,"nonmast","low predator",-0.585396366,0,"y",1
