"","X.3","X.2","X.1","X","squirrel_id","grid_year","yearn","mid","locx","locy","litter","nest","n_pups","date","julian_date","year","t_return","return_lat","t_move","m_return","observer","nest_type","cones_counts","mustelid_tracks","LRS","mom_age","predator","month","scaled_lat","males","dist","age_sq","average_growth","scaled_pups","m_return_numeric","percent_return","observations","litter_id","julian_part","grid","locY","locX","local.density","scaled_julian_date","scaled_density","ARS"
"63",63,162,162,162,13450,"AG_2017",2017,"K0",11,0,1,1,3,"5/27/17",147,"nonmast",NA,420,NA,"n","DUMMY","grass",1.563492063,19,9,5,"low predator",5,0.735397158,1.13009427,0,25,NA,0.160363944,0,0,2,7720,147,"AG",0,11,1.883490451,0.493123343,0.169080625,1
"64",64,163,163,163,19988,"AG_2017",2017,"K21",11,21,1,2,2,"5/28/17",148,"nonmast",NA,420,NA,"n","BMT/nMI","bucket",1.563492063,19,0,4,"low predator",5,0.735397158,0.941745225,0.360555128,16,NA,-1.212752326,0,50,2,7752,123,"AG",21,11,2.825235676,-0.268184687,0.816121006,0
"65",65,167,167,167,21924,"AG_2017",2017,"K23",11,23,1,2,3,"5/28/17",148,"nonmast",NA,420,NA,"n","AJM/MCS","wb",1.563492063,19,1,3,"low predator",5,0.735397158,0.37669809,0,9,NA,0.160363944,0,0,2,8123,123,"AG",23,11,1.695141406,-0.268184687,0.039672549,1
"66",66,168,168,168,21924,"AG_2017",2017,"K23",11,23,1,1,3,"5/7/17",127,"nonmast",NA,420,NA,"n","ARM","grass",1.563492063,19,1,3,"low predator",5,0.735397158,0.37669809,0,9,NA,0.160363944,0,0,2,8123,123,"AG",23,11,1.695141406,-0.268184687,0.039672549,1
"67",67,178,178,178,13268,"AG_2017",2017,"F.15.",6.5,15.5,1,2,2,"5/25/17",145,"nonmast",NA,420,NA,"n","nKP/ARM","grass",1.563492063,19,0,5,"low predator",5,0.735397158,2.260188541,4.9,25,NA,-1.212752326,0,0,2,7714,121,"AG",15.5,6.5,3.578631857,-0.331627023,1.333753311,0
"68",68,179,179,179,13268,"AG_2017",2017,"F.15.",6.5,15.5,1,1,3,"5/11/17",131,"nonmast",NA,420,NA,"n","HLS/MCS","wb",1.563492063,19,0,5,"low predator",5,0.735397158,2.260188541,4.9,25,NA,0.160363944,0,0,2,7714,121,"AG",15.5,6.5,3.578631857,-0.331627023,1.333753311,0
"69",69,180,180,180,20229,"AG_2017",2017,"F.0",6.5,0,1,1,1,"4/29/17",119,"nonmast",NA,420,NA,"n","nMI/LEP","grass",1.563492063,19,0,3,"low predator",4,0.735397158,0,5.203844733,9,NA,-2.585868595,0,0,1,7769,119,"AG",0,6.5,0,-0.395069359,-1.125000137,0
"70",70,184,184,184,20385,"AG_2017",2017,"L8",12,8,1,2,3,"6/11/17",162,"nonmast",NA,420,NA,"n","JGR","grass",1.563492063,19,0,3,"low predator",6,0.735397158,0,0,9,NA,0.160363944,0,50,2,7778,133,"AG",8,12,0,0.049026992,-1.125000137,0
"71",71,200,200,200,19926,"AG_2017",2017,"G.6.",7.5,6.5,1,1,3,"5/10/17",130,"nonmast",NA,420,NA,"n","HLS/JGR","wb",1.563492063,19,3,3,"low predator",5,0.735397158,0.941745225,5.003998401,9,NA,0.160363944,0,50,2,7748,126,"AG",6.5,7.5,2.636886631,-0.173021183,0.68671293,3
"72",72,201,201,201,21153,"AG_2017",2017,"G.8.",7.5,8.5,2,2,1,"6/23/17",174,"nonmast",NA,420,NA,"n","MJD/HLS/JBF","wb",1.563492063,19,0,3,"low predator",6,0.735397158,0,4.709564736,9,NA,-2.585868595,0,33.33333333,3,8145,150,"AG",8.5,7.5,0,0.588286847,-1.125000137,0
